sku,field,extracted,verified,match,validator_findings
6672159,brand,Lenovo,Lenovo,true,
6672159,model_name,"Yoga 7a 2-in-1 14"" 2K OLED Touchscreen Laptop - AMD Ryzen AI 5 430 2026- 16GB Memory - 512GB SSD - Copilot+ PC",Yoga 7a 2-in-1 14in,false,
6672159,cpu,AMD Ryzen AI 400 Series AI 5 430,AMD Ryzen AI 5 430,false,
6672159,ram_gb,16,16,true,
6672159,storage_gb,512,512,true,
6672159,screen_inch,14,14,true,
6672159,display_type,OLED,OLED,true,
6672159,form_factor,2-in-1,2-in-1,true,
6672159,operating_system,Windows 11 Home,Windows 11 Home,true,
6672159,device_type,Laptop,Laptop,true,
6672159,touch_screen,Yes,Yes,true,
6672159,screen_resolution,1920x1200,1920x1200,true,
6668002,brand,HP,HP,true,
6668002,model_name,"OmniBook X Flip 2-in-1 - 14"" 2K OLED Touchscreen Laptop - AMD Ryzen AI 5 430 (2026) - 16GB Memory - 512GB SSD - Copilot+",OmniBook X Flip 2-in-1 14in,false,
6668002,cpu,AMD Ryzen AI 400 Series,AMD Ryzen AI 5 430,false,
6668002,ram_gb,16,16,true,
6668002,storage_gb,512,512,true,
6668002,screen_inch,14,14,true,
6668002,display_type,OLED,OLED,true,
6668002,form_factor,2-in-1,2-in-1,true,
6668002,operating_system,Windows 11 Home,Windows 11 Home,true,
6668002,device_type,Laptop,Laptop,true,
6668002,touch_screen,Yes,Yes,true,
6668002,screen_resolution,1920x1200,1920x1200,true,
6667986,brand,HP,HP,true,
6667986,model_name,"OmniBook X Flip 2-in-1 - 14"" 2K OLED Touchscreen Laptop - Intel Core Ultra 5 (2026) - 16GB Memory - 512GB SSD - Copilot+",OmniBook X Flip 2-in-1 14in,false,
6667986,cpu,Intel Core Ultra 5 Series 3,Intel Core Ultra 5 325,false,
6667986,ram_gb,16,16,true,
6667986,storage_gb,512,512,true,
6667986,screen_inch,14,14,true,
6667986,display_type,OLED,OLED,true,
6667986,form_factor,2-in-1,2-in-1,true,
6667986,operating_system,Windows 11 Home,Windows 11 Home,true,
6667986,device_type,Laptop,Laptop,true,
6667986,touch_screen,Yes,Yes,true,
6667986,screen_resolution,1920x1200,1920x1200,true,
6679150,brand,Dell,Dell,true,
6679150,model_name,"14S - 14"" 2K Touchscreen Laptop - AMD Ryzen AI 5 430 2026 - 16GB Memory - 512GB Storage - Copilot+ PC",14S 14in,false,
6679150,cpu,AMD Ryzen AI 5 430,AMD Ryzen AI 5 430,true,
6679150,ram_gb,16,16,true,
6679150,storage_gb,512,512,true,
6679150,screen_inch,14,14,true,
6679150,display_type,LED,LED,true,
6679150,form_factor,clamshell,clamshell,true,
6679150,operating_system,Windows 11 Home,Windows 11 Home,true,
6679150,device_type,Laptop,Laptop,true,
6679150,touch_screen,Yes,Yes,true,
6679150,screen_resolution,1920x1200,1920x1200,true,
